название, обьем, min_price_increment, тип, min_quantity, i.ticker, i.currency, i.figi
"ГК Самолет", 1, 0.2, Stock, None, SMLT, RUB, BBG00F6NKQX3 
"Квадра - привилегированные акции", 100000, 0.000005, Stock, None, TGKDP, RUB, BBG000BS4180 
"Финансовая группа БУДУЩЕЕ", 1, 0.1, Stock, None, FTRE, RUB, BBG00F40L971 
"КАМАЗ", 10, 0.1, Stock, None, KMAZ, RUB, BBG000LNHHJ9 
"Лензолото", 1, 10.0, Stock, None, LNZL, RUB, BBG000SK7JS5 
"Вторая генерирующая компания оптового рынка электроэнергии", 1000, 0.0001, Stock, None, OGKB, RUB, BBG000RK52V1 
"РБК", 100, 0.002, Stock, None, RBCM, RUB, BBG001DJNR51 
"Российские сети", 1000, 0.0001, Stock, None, RSTI, RUB, BBG004S682J4 
"МРСК Центра и Приволжья", 10000, 0.0001, Stock, None, MRKP, RUB, BBG000VG1034 
"ЛУКОЙЛ", 1, 0.5, Stock, None, LKOH, RUB, BBG004731032 
"РУСАЛ", 10, None, Stock, None, RUAL_old, RUB, TCS008F2T3T2 
"Полюс Золото", 1, 0.5, Stock, None, PLZL, RUB, BBG000R607Y3 
"Банк Санкт-Петербург", 10, 0.01, Stock, None, BSPB, RUB, BBG000QJW156 
"Татнефть", 1, 0.1, Stock, None, TATN, RUB, BBG004RVFFC0 
"Томская распределительная компания", 10000, 0.001, Stock, None, TORS, RUB, BBG000MDCJV7 
"ЮУНК", 1, 10.0, Stock, None, UNKL, RUB, BBG002YFXL29 
"Мультисистема", 100, 0.001, Stock, None, MSST, RUB, BBG001BBSZV8 
"Пермэнергосбыт - акции привилегированные", 10, 0.2, Stock, None, PMSBP, RUB, BBG000MZL2S9 
"Ростелеком", 10, 0.01, Stock, None, RTKM, RUB, BBG004S682Z6 
"TCS Group", 1, 0.2, Stock, None, TCSG, RUB, BBG00QPYJ5H0 
"ВСМПО-АВИСМА", 1, 20.0, Stock, None, VSMO, RUB, BBG004S68CV8 
"МГТС - акции привилегированные", 1, 2, Stock, None, MGTSP, RUB, BBG000PZ0833 
"М.видео", 1, 0.1, Stock, None, MVID, RUB, BBG004S68CP5 
"Сбер Банк", 10, 0.01, Stock, None, SBER, RUB, BBG004730N88 
"АЛРОСА-Нюрба", 1, 200.0, Stock, None, ALNU, RUB, BBG002B25NL9 
"Русолово", 100, 0.005, Stock, None, ROLO, RUB, BBG004Z2RGW8 
"ПИК", 1, 0.1, Stock, None, PIKK, RUB, BBG004S68BH6 
"ФосАгро", 1, 1, Stock, None, PHOR, RUB, BBG004S689R0 
"ЧЗПСН", 100, 0.001, Stock, None, PRFN, RUB, BBG003BNWBP3 
"НЛМК", 10, 0.02, Stock, None, NLMK, RUB, BBG004S681B4 
"СОЛЛЕРС", 10, 0.5, Stock, None, SVAV, RUB, BBG004S68JR8 
"Объединенная авиастроительная корпорация", 1000, 0.0005, Stock, None, UNAC, RUB, BBG000Q7ZZY2 
"Иркутскэнерго", 100, 0.02, Stock, None, IRGZ, RUB, BBG000NL6ZD9 
"ТГК-14", 1000000, 0.00001, Stock, None, TGKN, RUB, BBG000RG4ZQ4 
"Транснефть", 1, 50.0, Stock, None, TRNFP, RUB, BBG00475KHX6 
"МТС", 10, 0.05, Stock, None, MTSS, RUB, BBG004S681W1 
"Красный Октябрь", 10, 0.5, Stock, None, KROT, RUB, BBG000NLB2G3 
"Группа ЛСР", 1, 0.2, Stock, None, LSRG, RUB, BBG004S68C39 
"Русполимет", 1000, 0.0005, Stock, None, RUSP, RUB, BBG000R466J1 
"Сургутнефтегаз - привилегированные акции", 100, 0.005, Stock, None, SNGSP, RUB, BBG004S681M2 
"НМТП", 100, 0.005, Stock, None, NMTP, RUB, BBG004S68BR5 
"Магнитогорский металлургический комбинат", 10, 0.005, Stock, None, MAGN, RUB, BBG004S68507 
"Ленэнерго - акции привилегированные", 10, 0.05, Stock, None, LSNGP, RUB, BBG000NLCCM3 
"Лензолото - привилегированные акции", 1, 5, Stock, None, LNZLP, RUB, BBG000SR0YS4 
"Газпром нефть", 10, 0.05, Stock, None, SIBN, RUB, BBG004S684M6 
